"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(DirTotal) []"
10,5,0,0.6,0,-4.09401673300264
10,5,0,0.6,0.1,-4.0938903863115
10,5,0,0.6,0.2,-4.09351703086631
10,5,0,0.6,0.3,-4.09291366738639
10,5,0,0.6,0.4,-4.09210845404492
10,5,0,0.6,0.5,-4.09114044490683
10,5,0,0.6,0.6,-4.09005922958907
10,5,0,0.6,0.7,-4.08892447974979
10,5,0,0.6,0.8,-4.087805409283
10,5,0,0.6,0.9,-4.08678015613947
10,5,0,0.6,1,-4.08593509448263
10,5,0,0.6,1.1,-4.08536408640482
10,5,0,0.6,1.2,-4.08516768266655
10,5,0,0.6,1.3,-4.08545228188587
10,5,0,0.6,1.4,-4.08632925730892
10,5,0,0.6,1.5,-4.08791405975967
10,5,0,0.6,1.6,-4.09032530462656
10,5,0,0.6,1.7,-4.09368384982744
10,5,0,0.6,1.8,-4.09811187064102
10,5,0,0.6,1.9,-4.10373193613795
10,5,0,0.6,2,-4.11066609072647
10,5,0,0.6,2.1,-4.11903494307932
10,5,0,0.6,2.2,-4.12895676346424
10,5,0,0.6,2.3,-4.14054658928804
10,5,0,0.6,2.4,-4.15391533750983
10,5,0,0.6,2.5,-4.16916892150509
10,5,0,0.6,2.6,-4.18640736898793
10,5,0,0.6,2.7,-4.20572393674323
10,5,0,0.6,2.8,-4.22720421719749
10,5,0,0.6,2.9,-4.25092523128699
10,5,0,0.6,3,-4.27695450167925
10,5,0,0.6,3.1,-4.30534910019165
10,5,0,0.6,3.2,-4.33615466325396
10,5,0,0.6,3.3,-4.36940436950853
10,5,0,0.6,3.4,-4.40511787417238
10,5,0,0.6,3.5,-4.44330019564337
10,5,0,0.6,3.6,-4.48394055107175
10,5,0,0.6,3.7,-4.52701113930462
10,5,0,0.6,3.8,-4.57246587181318
10,5,0,0.6,3.9,-4.62023905501488
10,5,0,0.6,4,-4.67024403088931
10,5,0,0.6,4.1,-4.7223717870442
10,5,0,0.6,4.2,-4.77648955249996
10,5,0,0.6,4.3,-4.83243940149313
10,5,0,0.6,4.4,-4.89003689458985
10,5,0,0.6,4.5,-4.94906979434557
10,5,0,0.6,4.6,-5.00929690157195
10,5,0,0.6,4.7,-5.0704470678142
10,5,0,0.6,4.8,-5.13221844961448
10,5,0,0.6,4.9,-5.19427808010323
10,5,0,0.6,5,-5.25626184280144
10,5,0,0.6,5.1,-5.3177749404112
10,5,0,0.6,5.2,-5.37839295678624
10,5,0,0.6,5.3,-5.43766361197687
10,5,0,0.6,5.4,-5.49510930685113
10,5,0,0.6,5.5,-5.55023054386293
10,5,0,0.6,5.6,-5.60251029270078
10,5,0,0.6,5.7,-5.65141934271366
10,5,0,0.6,5.8,-5.69642264759067
10,5,0,0.6,5.9,-5.73698662195792
10,5,0,0.6,6,-5.77258729557675
10,5,0,0.6,6.1,-5.80271917112605
10,5,0,0.6,6.2,-5.82690456987581
10,5,0,0.6,6.3,-5.84470319084209
10,5,0,0.6,6.4,-5.85572155903878
10,5,0,0.6,6.5,-5.85962200327107
10,5,0,0.6,6.6,-5.85613078912315
10,5,0,0.6,6.7,-5.84504504258898
10,5,0,0.6,6.8,-5.82623813622477
10,5,0,0.6,6.9,-5.79966327202719
10,5,0,0.6,7,-5.76535507973199
10,5,0,0.6,7.1,-5.72342914939836
10,5,0,0.6,7.2,-5.67407952447282
10,5,0,0.6,7.3,-5.61757428653921
10,5,0,0.6,7.4,-5.5542494564936
10,5,0,0.6,7.5,-5.48450151128299
10,5,0,0.6,7.6,-5.4087788654017
10,5,0,0.6,7.7,-5.32757268976673
10,5,0,0.6,7.8,-5.24140743806063
10,5,0,0.6,7.9,-5.15083142531784
10,5,0,0.6,8,-5.05640776042309
10,5,0,0.6,8.1,-4.95870587919981
10,5,0,0.6,8.2,-4.85829386390618
10,5,0,0.6,8.3,-4.75573167365539
10,5,0,0.6,8.4,-4.65156535291918
10,5,0,0.6,8.5,-4.54632223497794
10,5,0,0.6,8.6,-4.44050711578313
10,5,0,0.6,8.7,-4.33459934189147
10,5,0,0.6,8.8,-4.229050733699
10,5,0,0.6,8.9,-4.12428425128154
10,5,0,0.6,9,-4.02069330348447
10,5,0,0.6,9.1,-3.91864160007057
10,5,0,0.6,9.2,-3.81846345030509
10,5,0,0.6,9.3,-3.72046441800901
10,5,0,0.6,9.4,-3.6249222517101
10,5,0,0.6,9.5,-3.53208801813285
10,5,0,0.6,9.6,-3.44218737717343
10,5,0,0.6,9.7,-3.35542194617777
10,5,0,0.6,9.8,-3.27197071042031
10,5,0,0.6,9.9,-3.19199144494652
10,5,0,0.6,10,-3.11562212028008
10,5,0,0.6,10.1,-3.04298227087013
10,5,0,0.6,10.2,-2.97417431058764
10,5,0,0.6,10.3,-2.90928478412949
10,5,0,0.6,10.4,-2.84838554693701
10,5,0,0.6,10.5,-2.79153486926962
10,5,0,0.6,10.6,-2.73877846249109
10,5,0,0.6,10.7,-2.69015042751293
10,5,0,0.6,10.8,-2.64567412678421
10,5,0,0.6,10.9,-2.60536298229326
10,5,0,0.6,11,-2.56922120282371
10,5,0,0.6,11.1,-2.53724444424285
10,5,0,0.6,11.2,-2.50942040694372
10,5,0,0.6,11.3,-2.48572937475677
10,5,0,0.6,11.4,-2.46614469972541
10,5,0,0.6,11.5,-2.45063323713187
10,5,0,0.6,11.6,-2.43915573508802
10,5,0,0.6,11.7,-2.43166718288753
10,5,0,0.6,11.8,-2.42811712216703
10,5,0,0.6,11.9,-2.42844992475315
10,5,0,0.6,12,-2.43260504089065
10,5,0,0.6,12.1,-2.4405172213575
10,5,0,0.6,12.2,-2.45211671678184
10,5,0,0.6,12.3,-2.46732945728545
10,5,0,0.6,12.4,-2.48607721538887
10,5,0,0.6,12.5,-2.50827775492856
10,5,0,0.6,12.6,-2.53384496855179
10,5,0,0.6,12.7,-2.56268900617443
