"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","DirTotal []"
10,5,90,0.6,0,0.389581501150344
10,5,90,0.6,2,0.647696054819979
10,5,90,0.6,4,0.889477925032522
10,5,90,0.6,6,0.913385925505577
10,5,90,0.6,8,0.68656466735723
10,5,90,0.6,10,0.380021911624386
10,5,90,0.6,12,0.215767711902119
10,5,90,0.6,14,0.271115283308368
10,5,90,0.6,16,0.429414936631376
10,5,90,0.6,18,0.516313956442036
10,5,90,0.6,20,0.471909206025524
10,5,90,0.6,22,0.382915810197468
10,5,90,0.6,24,0.359407691241453
10,5,90,0.6,26,0.406573329822346
10,5,90,0.6,28,0.432009124981064
10,5,90,0.6,30,0.366172818168615
10,5,90,0.6,32,0.249442995174495
10,5,90,0.6,34,0.18800854846998
10,5,90,0.6,36,0.234183793648682
10,5,90,0.6,38,0.328145617472211
10,5,90,0.6,40,0.364697347336839
10,5,90,0.6,42,0.30902334233575
10,5,90,0.6,44,0.231851626066063
10,5,90,0.6,46,0.223611321033883
10,5,90,0.6,48,0.28429754445193
10,5,90,0.6,50,0.319629869672757
10,5,90,0.6,52,0.257365732245995
10,5,90,0.6,54,0.152157820136174
10,5,90,0.6,56,0.143545696397516
10,5,90,0.6,58,0.292428313323266
10,5,90,0.6,60,0.476480171746179
10,5,90,0.6,62,0.489693917533971
10,5,90,0.6,64,0.277760468480169
10,5,90,0.6,66,0.0636606086888817
10,5,90,0.6,68,0.180258532174223
10,5,90,0.6,70,0.708402378492972
10,5,90,0.6,72,1.27016835010473
10,5,90,0.6,74,1.28079388095264
10,5,90,0.6,76,0.589282794487931
10,5,90,0.6,78,0.0163956963462259
10,5,90,0.6,80,1.21992598125916
10,5,90,0.6,82,5.7410033637925
10,5,90,0.6,84,13.749496781986
10,5,90,0.6,86,23.386709164243
10,5,90,0.6,88,31.3313371328382
10,5,90,0.6,90,34.4131161794029
10,5,90,0.6,92,31.3313371328382
10,5,90,0.6,94,23.3867091642428
10,5,90,0.6,96,13.749496781986
10,5,90,0.6,98,5.74100336379257
10,5,90,0.6,100,1.2199259812592
10,5,90,0.6,102,0.0163956963462301
10,5,90,0.6,104,0.589282794487945
10,5,90,0.6,106,1.28079388095265
10,5,90,0.6,108,1.27016835010473
10,5,90,0.6,110,0.708402378492982
10,5,90,0.6,112,0.180258532174232
10,5,90,0.6,114,0.0636606086888841
10,5,90,0.6,116,0.277760468480157
10,5,90,0.6,118,0.489693917533968
10,5,90,0.6,120,0.476480171746184
