"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","DirTotal []"
10,5,-180,0.6,0,0.389581501150343
10,5,-180,0.6,2,0.388090838747209
10,5,-180,0.6,4,0.341173740466429
10,5,-180,0.6,6,0.264692277296634
10,5,-180,0.6,8,0.312147042127254
10,5,-180,0.6,10,0.488020188086015
10,5,-180,0.6,12,0.571135947811011
10,5,-180,0.6,14,0.479856818948442
10,5,-180,0.6,16,0.346915710297154
10,5,-180,0.6,18,0.275903533009068
10,5,-180,0.6,20,0.282005080451742
10,5,-180,0.6,22,0.321281376873116
10,5,-180,0.6,24,0.323031342853221
10,5,-180,0.6,26,0.276973625663699
10,5,-180,0.6,28,0.231891979712036
10,5,-180,0.6,30,0.220642548482977
10,5,-180,0.6,32,0.23996964416156
10,5,-180,0.6,34,0.26139335997791
10,5,-180,0.6,36,0.251577558440225
10,5,-180,0.6,38,0.211289448270965
10,5,-180,0.6,40,0.174045295704281
10,5,-180,0.6,42,0.162064100832957
10,5,-180,0.6,44,0.168962406267636
10,5,-180,0.6,46,0.174370970530459
10,5,-180,0.6,48,0.162784578872783
10,5,-180,0.6,50,0.138789096358003
10,5,-180,0.6,52,0.121469056201419
10,5,-180,0.6,54,0.119766751143255
10,5,-180,0.6,56,0.12291322193019
10,5,-180,0.6,58,0.115124432755015
10,5,-180,0.6,60,0.0914877015548187
10,5,-180,0.6,62,0.0629447874846914
10,5,-180,0.6,64,0.0495407372877212
10,5,-180,0.6,66,0.0615112050438786
10,5,-180,0.6,68,0.0852090179672971
10,5,-180,0.6,70,0.0948861119495038
10,5,-180,0.6,72,0.0792113304435744
10,5,-180,0.6,74,0.0524581302207251
10,5,-180,0.6,76,0.041974568356425
10,5,-180,0.6,78,0.0677607866743048
10,5,-180,0.6,80,0.129870025445917
10,5,-180,0.6,82,0.209232301092548
10,5,-180,0.6,84,0.280175914137157
10,5,-180,0.6,86,0.326210586810901
10,5,-180,0.6,88,0.347168813261809
10,5,-180,0.6,90,0.352375259780151
10,5,-180,0.6,92,0.347168813261807
10,5,-180,0.6,94,0.3262105868109
10,5,-180,0.6,96,0.280175914137157
10,5,-180,0.6,98,0.209232301092547
10,5,-180,0.6,100,0.129870025445917
10,5,-180,0.6,102,0.0677607866743046
10,5,-180,0.6,104,0.0419745683564247
10,5,-180,0.6,106,0.052458130220724
10,5,-180,0.6,108,0.079211330443574
10,5,-180,0.6,110,0.0948861119495044
10,5,-180,0.6,112,0.085209017967297
10,5,-180,0.6,114,0.0615112050438785
10,5,-180,0.6,116,0.0495407372877212
10,5,-180,0.6,118,0.0629447874846914
10,5,-180,0.6,120,0.0914877015548176
10,5,-180,0.6,122,0.115124432755014
10,5,-180,0.6,124,0.12291322193019
10,5,-180,0.6,126,0.119766751143256
10,5,-180,0.6,128,0.12146905620142
10,5,-180,0.6,130,0.138789096358005
10,5,-180,0.6,132,0.162784578872784
10,5,-180,0.6,134,0.174370970530459
10,5,-180,0.6,136,0.168962406267636
10,5,-180,0.6,138,0.162064100832958
10,5,-180,0.6,140,0.17404529570428
10,5,-180,0.6,142,0.211289448270965
10,5,-180,0.6,144,0.251577558440225
10,5,-180,0.6,146,0.26139335997791
10,5,-180,0.6,148,0.239969644161561
10,5,-180,0.6,150,0.220642548482977
10,5,-180,0.6,152,0.231891979712036
10,5,-180,0.6,154,0.276973625663699
10,5,-180,0.6,156,0.323031342853221
10,5,-180,0.6,158,0.321281376873117
10,5,-180,0.6,160,0.282005080451743
10,5,-180,0.6,162,0.275903533009069
10,5,-180,0.6,164,0.346915710297155
10,5,-180,0.6,166,0.479856818948443
10,5,-180,0.6,168,0.571135947811011
10,5,-180,0.6,170,0.488020188086017
10,5,-180,0.6,172,0.312147042127255
10,5,-180,0.6,174,0.264692277296634
10,5,-180,0.6,176,0.341173740466428
10,5,-180,0.6,178,0.388090838747208
10,5,-180,0.6,180,0.389581501150342
10,7,-180,0.6,0,0.22649486255751
10,7,-180,0.6,2,0.354572818031384
10,7,-180,0.6,4,0.361027858533889
10,7,-180,0.6,6,0.384705497468999
10,7,-180,0.6,8,0.549885894611154
10,7,-180,0.6,10,0.487988419354791
10,7,-180,0.6,12,0.404733581462035
10,7,-180,0.6,14,0.347693698177698
10,7,-180,0.6,16,0.356561154720002
10,7,-180,0.6,18,0.334420479447538
10,7,-180,0.6,20,0.284641822937846
10,7,-180,0.6,22,0.265700358774904
10,7,-180,0.6,24,0.276292181873708
10,7,-180,0.6,26,0.257124835353758
10,7,-180,0.6,28,0.208532982703659
10,7,-180,0.6,30,0.197667272043996
10,7,-180,0.6,32,0.23602157620732
10,7,-180,0.6,34,0.233905295694621
10,7,-180,0.6,36,0.172174413763748
10,7,-180,0.6,38,0.135649485888685
10,7,-180,0.6,40,0.163634084059352
10,7,-180,0.6,42,0.196939252850499
10,7,-180,0.6,44,0.174451718892252
10,7,-180,0.6,46,0.138234721172786
10,7,-180,0.6,48,0.139124226460434
10,7,-180,0.6,50,0.146520980870234
10,7,-180,0.6,52,0.124424687853589
10,7,-180,0.6,54,0.0973320228592214
10,7,-180,0.6,56,0.095139941407835
10,7,-180,0.6,58,0.101252408153599
10,7,-180,0.6,60,0.0842628246952787
10,7,-180,0.6,62,0.0443933487430839
10,7,-180,0.6,64,0.0275995425397517
10,7,-180,0.6,66,0.0433769103807952
10,7,-180,0.6,68,0.0464915909400733
10,7,-180,0.6,70,0.0306860570271657
10,7,-180,0.6,72,0.0302892218302701
10,7,-180,0.6,74,0.0511572114812822
10,7,-180,0.6,76,0.0649229799570507
10,7,-180,0.6,78,0.0615146976378989
10,7,-180,0.6,80,0.0776661228835545
10,7,-180,0.6,82,0.146454220460338
10,7,-180,0.6,84,0.22950621566038
10,7,-180,0.6,86,0.250684032523645
10,7,-180,0.6,88,0.204129533334903
10,7,-180,0.6,90,0.170936525620259
10,7,-180,0.6,92,0.204129533334902
10,7,-180,0.6,94,0.250684032523644
10,7,-180,0.6,96,0.22950621566038
10,7,-180,0.6,98,0.146454220460339
10,7,-180,0.6,100,0.0776661228835556
10,7,-180,0.6,102,0.0615146976378992
10,7,-180,0.6,104,0.0649229799570514
10,7,-180,0.6,106,0.0511572114812829
10,7,-180,0.6,108,0.0302892218302704
10,7,-180,0.6,110,0.0306860570271658
10,7,-180,0.6,112,0.046491590940074
10,7,-180,0.6,114,0.0433769103807952
10,7,-180,0.6,116,0.0275995425397512
10,7,-180,0.6,118,0.0443933487430843
10,7,-180,0.6,120,0.0842628246952785
10,7,-180,0.6,122,0.101252408153597
10,7,-180,0.6,124,0.0951399414078337
10,7,-180,0.6,126,0.0973320228592219
10,7,-180,0.6,128,0.124424687853589
10,7,-180,0.6,130,0.146520980870234
10,7,-180,0.6,132,0.139124226460434
10,7,-180,0.6,134,0.138234721172785
10,7,-180,0.6,136,0.174451718892253
10,7,-180,0.6,138,0.196939252850499
10,7,-180,0.6,140,0.163634084059353
10,7,-180,0.6,142,0.135649485888684
10,7,-180,0.6,144,0.172174413763747
10,7,-180,0.6,146,0.233905295694622
10,7,-180,0.6,148,0.23602157620732
10,7,-180,0.6,150,0.197667272043997
10,7,-180,0.6,152,0.208532982703661
10,7,-180,0.6,154,0.257124835353758
10,7,-180,0.6,156,0.276292181873707
10,7,-180,0.6,158,0.265700358774904
10,7,-180,0.6,160,0.284641822937845
10,7,-180,0.6,162,0.334420479447538
10,7,-180,0.6,164,0.356561154720003
10,7,-180,0.6,166,0.347693698177697
10,7,-180,0.6,168,0.404733581462034
10,7,-180,0.6,170,0.487988419354792
10,7,-180,0.6,172,0.549885894611154
10,7,-180,0.6,174,0.384705497469001
10,7,-180,0.6,176,0.361027858533889
10,7,-180,0.6,178,0.354572818031384
