"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","GainTotal []"
10,5,90,0.6,0,0.396410183031529
10,5,90,0.6,2,0.659049033082563
10,5,90,0.6,4,0.905068916320479
10,5,90,0.6,6,0.929395982198754
10,5,90,0.6,8,0.6985989443709
10,5,90,0.6,10,0.386683030632091
10,5,90,0.6,12,0.219549742261518
10,5,90,0.6,14,0.275867459726842
10,5,90,0.6,16,0.436941828921248
10,5,90,0.6,18,0.525364036461104
10,5,90,0.6,20,0.480180948485666
10,5,90,0.6,22,0.389627654182344
10,5,90,0.6,24,0.365707479044242
10,5,90,0.6,26,0.413699848721558
10,5,90,0.6,28,0.439581488852435
10,5,90,0.6,30,0.372591186806313
10,5,90,0.6,32,0.253815294312178
10,5,90,0.6,34,0.191304009277678
10,5,90,0.6,36,0.238288625689819
10,5,90,0.6,38,0.33389743583578
10,5,90,0.6,40,0.371089853553181
10,5,90,0.6,42,0.314439980683414
10,5,90,0.6,44,0.235915579291167
10,5,90,0.6,46,0.22753083613371
10,5,90,0.6,48,0.289280782837048
10,5,90,0.6,50,0.32523242188141
10,5,90,0.6,52,0.261876903098401
10,5,90,0.6,54,0.15482488042106
10,5,90,0.6,56,0.146061801225947
10,5,90,0.6,58,0.297554069856469
10,5,90,0.6,60,0.484832035235436
10,5,90,0.6,62,0.498277394860582
10,5,90,0.6,64,0.282629123364499
10,5,90,0.6,66,0.0647764677422901
10,5,90,0.6,68,0.183418148760105
10,5,90,0.6,70,0.720819432363138
10,5,90,0.6,72,1.29243217827112
10,5,90,0.6,74,1.30324395607831
10,5,90,0.6,76,0.599611890530049
10,5,90,0.6,78,0.0166830842079142
10,5,90,0.6,80,1.24130914863239
10,5,90,0.6,82,5.8416331050261
10,5,90,0.6,84,13.9905013966131
10,5,90,0.6,86,23.796637245168
10,5,90,0.6,88,31.8805206376005
10,5,90,0.6,90,35.0163178772134
10,5,90,0.6,92,31.8805206376005
10,5,90,0.6,94,23.7966372451678
10,5,90,0.6,96,13.990501396613
10,5,90,0.6,98,5.84163310502617
10,5,90,0.6,100,1.24130914863243
10,5,90,0.6,102,0.0166830842079184
10,5,90,0.6,104,0.599611890530063
10,5,90,0.6,106,1.30324395607832
10,5,90,0.6,108,1.29243217827113
10,5,90,0.6,110,0.720819432363148
10,5,90,0.6,112,0.183418148760114
10,5,90,0.6,114,0.0647764677422925
10,5,90,0.6,116,0.282629123364487
10,5,90,0.6,118,0.498277394860579
10,5,90,0.6,120,0.484832035235441
10,5,90,0.6,122,0.297554069856463
10,5,90,0.6,124,0.146061801225946
10,5,90,0.6,126,0.154824880421054
10,5,90,0.6,128,0.261876903098404
10,5,90,0.6,130,0.325232421881408
10,5,90,0.6,132,0.289280782837046
10,5,90,0.6,134,0.227530836133704
10,5,90,0.6,136,0.235915579291162
10,5,90,0.6,138,0.314439980683413
10,5,90,0.6,140,0.371089853553177
10,5,90,0.6,142,0.33389743583578
10,5,90,0.6,144,0.238288625689822
10,5,90,0.6,146,0.19130400927768
10,5,90,0.6,148,0.253815294312177
10,5,90,0.6,150,0.372591186806313
10,5,90,0.6,152,0.43958148885243
10,5,90,0.6,154,0.413699848721555
10,5,90,0.6,156,0.365707479044242
10,5,90,0.6,158,0.389627654182344
10,5,90,0.6,160,0.480180948485667
10,5,90,0.6,162,0.525364036461107
10,5,90,0.6,164,0.436941828921248
10,5,90,0.6,166,0.27586745972684
10,5,90,0.6,168,0.219549742261518
10,5,90,0.6,170,0.386683030632089
10,5,90,0.6,172,0.698598944370899
10,5,90,0.6,174,0.92939598219875
10,5,90,0.6,176,0.905068916320482
10,5,90,0.6,178,0.659049033082565
10,5,90,0.6,180,0.396410183031529
