"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","GainTotal []"
10,5,-180,0.6,0,0.396410183031529
10,5,-180,0.6,2,0.394893391925381
10,5,-180,0.6,4,0.347153919024652
10,5,-180,0.6,6,0.269331869661077
10,5,-180,0.6,8,0.317618433465257
10,5,-180,0.6,10,0.496574327864715
10,5,-180,0.6,12,0.581146961390954
10,5,-180,0.6,14,0.488267869153447
10,5,-180,0.6,16,0.352996535537084
10,5,-180,0.6,18,0.280739639064543
10,5,-180,0.6,20,0.286948135955139
10,5,-180,0.6,22,0.326912877112572
10,5,-180,0.6,24,0.32869351693357
10,5,-180,0.6,26,0.281828488570566
10,5,-180,0.6,28,0.235956640265928
10,5,-180,0.6,30,0.224510026195844
10,5,-180,0.6,32,0.244175892035964
10,5,-180,0.6,34,0.265975128095423
10,5,-180,0.6,36,0.255987272736106
10,5,-180,0.6,38,0.214992982506635
10,5,-180,0.6,40,0.177096005129066
10,5,-180,0.6,42,0.16490480088078
10,5,-180,0.6,44,0.171924021536519
10,5,-180,0.6,46,0.177427388464961
10,5,-180,0.6,48,0.165637907639685
10,5,-180,0.6,50,0.141221826312602
10,5,-180,0.6,52,0.123598196165093
10,5,-180,0.6,54,0.121866052678584
10,5,-180,0.6,56,0.125067675591553
10,5,-180,0.6,58,0.117142362573845
10,5,-180,0.6,60,0.0930913208440149
10,5,-180,0.6,62,0.0640480994451993
10,5,-180,0.6,64,0.050409099707647
10,5,-180,0.6,66,0.0625893888132125
10,5,-180,0.6,68,0.0867025829219698
10,5,-180,0.6,70,0.0965492994251219
10,5,-180,0.6,72,0.0805997664329309
10,5,-180,0.6,74,0.0533776294328319
10,5,-180,0.6,76,0.0427103090770695
10,5,-180,0.6,78,0.0689485146717878
10,5,-180,0.6,80,0.13214641969732
10,5,-180,0.6,82,0.212899777138537
10,5,-180,0.6,84,0.285086907556413
10,5,-180,0.6,86,0.33192848747361
10,5,-180,0.6,88,0.353254074953737
10,5,-180,0.6,90,0.358551781367377
10,5,-180,0.6,92,0.353254074953735
10,5,-180,0.6,94,0.331928487473609
10,5,-180,0.6,96,0.285086907556413
10,5,-180,0.6,98,0.212899777138537
10,5,-180,0.6,100,0.13214641969732
10,5,-180,0.6,102,0.0689485146717876
10,5,-180,0.6,104,0.0427103090770691
10,5,-180,0.6,106,0.0533776294328308
10,5,-180,0.6,108,0.0805997664329305
10,5,-180,0.6,110,0.0965492994251225
10,5,-180,0.6,112,0.0867025829219696
10,5,-180,0.6,114,0.0625893888132124
10,5,-180,0.6,116,0.050409099707647
10,5,-180,0.6,118,0.0640480994451993
10,5,-180,0.6,120,0.0930913208440139
10,5,-180,0.6,122,0.117142362573844
10,5,-180,0.6,124,0.125067675591553
10,5,-180,0.6,126,0.121866052678584
10,5,-180,0.6,128,0.123598196165094
10,5,-180,0.6,130,0.141221826312603
10,5,-180,0.6,132,0.165637907639686
10,5,-180,0.6,134,0.177427388464961
10,5,-180,0.6,136,0.17192402153652
10,5,-180,0.6,138,0.164904800880781
10,5,-180,0.6,140,0.177096005129066
10,5,-180,0.6,142,0.214992982506635
10,5,-180,0.6,144,0.255987272736106
10,5,-180,0.6,146,0.265975128095423
10,5,-180,0.6,148,0.244175892035965
10,5,-180,0.6,150,0.224510026195845
10,5,-180,0.6,152,0.235956640265928
10,5,-180,0.6,154,0.281828488570565
10,5,-180,0.6,156,0.328693516933569
10,5,-180,0.6,158,0.326912877112573
10,5,-180,0.6,160,0.286948135955141
10,5,-180,0.6,162,0.280739639064544
10,5,-180,0.6,164,0.352996535537085
10,5,-180,0.6,166,0.488267869153448
10,5,-180,0.6,168,0.581146961390954
10,5,-180,0.6,170,0.496574327864717
10,5,-180,0.6,172,0.317618433465258
10,5,-180,0.6,174,0.269331869661077
10,5,-180,0.6,176,0.347153919024651
10,5,-180,0.6,178,0.39489339192538
10,5,-180,0.6,180,0.396410183031528
10,7,-180,0.6,0,0.230763556206449
10,7,-180,0.6,2,0.361255365791303
10,7,-180,0.6,4,0.367832062873943
10,7,-180,0.6,6,0.391955948517711
10,7,-180,0.6,8,0.560249460475133
10,7,-180,0.6,10,0.497185418540265
10,7,-180,0.6,12,0.412361496944049
10,7,-180,0.6,14,0.354246596836979
10,7,-180,0.6,16,0.363281176178436
10,7,-180,0.6,18,0.340723220978067
10,7,-180,0.6,20,0.290006398222588
10,7,-180,0.6,22,0.270707948886293
10,7,-180,0.6,24,0.281499393501814
10,7,-180,0.6,26,0.261970804658604
10,7,-180,0.6,28,0.212463153166733
10,7,-180,0.6,30,0.201392659098032
10,7,-180,0.6,32,0.240469817513954
10,7,-180,0.6,34,0.238313651976571
10,7,-180,0.6,36,0.175419343111125
10,7,-180,0.6,38,0.138206038793932
10,7,-180,0.6,40,0.166718055887617
10,7,-180,0.6,42,0.200650919103663
10,7,-180,0.6,44,0.177739568056128
10,7,-180,0.6,46,0.140839997379364
10,7,-180,0.6,48,0.141746266957068
10,7,-180,0.6,50,0.149282426200228
10,7,-180,0.6,52,0.126769689717271
10,7,-180,0.6,54,0.0991664158477689
10,7,-180,0.6,56,0.0969330207698224
10,7,-180,0.6,58,0.103160687691353
10,7,-180,0.6,60,0.0858509056811203
10,7,-180,0.6,62,0.0452300194017246
10,7,-180,0.6,64,0.0281197044128411
10,7,-180,0.6,66,0.04419442447256
10,7,-180,0.6,68,0.0473678066596442
10,7,-180,0.6,70,0.0312643896889478
10,7,-180,0.6,72,0.0308600754355051
10,7,-180,0.6,74,0.0521213590177065
10,7,-180,0.6,76,0.0661465675876199
10,7,-180,0.6,78,0.0626740501996225
10,7,-180,0.6,80,0.079129877432983
10,7,-180,0.6,82,0.149214407573106
10,7,-180,0.6,84,0.233831663549657
10,7,-180,0.6,86,0.25540861358231
10,7,-180,0.6,88,0.207976713057517
10,7,-180,0.6,90,0.174158124790534
10,7,-180,0.6,92,0.207976713057516
10,7,-180,0.6,94,0.255408613582309
10,7,-180,0.6,96,0.233831663549657
10,7,-180,0.6,98,0.149214407573107
10,7,-180,0.6,100,0.0791298774329841
10,7,-180,0.6,102,0.0626740501996228
10,7,-180,0.6,104,0.0661465675876206
10,7,-180,0.6,106,0.0521213590177071
10,7,-180,0.6,108,0.0308600754355055
10,7,-180,0.6,110,0.0312643896889478
10,7,-180,0.6,112,0.0473678066596449
10,7,-180,0.6,114,0.04419442447256
10,7,-180,0.6,116,0.0281197044128406
10,7,-180,0.6,118,0.045230019401725
10,7,-180,0.6,120,0.08585090568112
10,7,-180,0.6,122,0.103160687691352
10,7,-180,0.6,124,0.0969330207698211
10,7,-180,0.6,126,0.0991664158477694
10,7,-180,0.6,128,0.126769689717272
10,7,-180,0.6,130,0.149282426200228
10,7,-180,0.6,132,0.141746266957068
10,7,-180,0.6,134,0.140839997379362
10,7,-180,0.6,136,0.177739568056128
10,7,-180,0.6,138,0.200650919103663
10,7,-180,0.6,140,0.166718055887617
10,7,-180,0.6,142,0.138206038793931
10,7,-180,0.6,144,0.175419343111125
10,7,-180,0.6,146,0.238313651976572
10,7,-180,0.6,148,0.240469817513954
10,7,-180,0.6,150,0.201392659098032
10,7,-180,0.6,152,0.212463153166734
10,7,-180,0.6,154,0.261970804658604
10,7,-180,0.6,156,0.281499393501814
10,7,-180,0.6,158,0.270707948886292
10,7,-180,0.6,160,0.290006398222588
10,7,-180,0.6,162,0.340723220978068
10,7,-180,0.6,164,0.363281176178437
10,7,-180,0.6,166,0.354246596836978
10,7,-180,0.6,168,0.412361496944049
10,7,-180,0.6,170,0.497185418540267
10,7,-180,0.6,172,0.560249460475133
10,7,-180,0.6,174,0.391955948517712
10,7,-180,0.6,176,0.367832062873943
10,7,-180,0.6,178,0.361255365791303
10,7,-180,0.6,180,0.230763556206448
10,10,-180,0.6,0,0.90075336126111
10,10,-180,0.6,2,0.703671517023049
10,10,-180,0.6,4,0.610303386959312
10,10,-180,0.6,6,0.759023789548839
10,10,-180,0.6,8,0.357721843863472
10,10,-180,0.6,10,0.372308260842117
10,10,-180,0.6,12,0.57237093942401
10,10,-180,0.6,14,0.318864165532624
10,10,-180,0.6,16,0.337278144898865
10,10,-180,0.6,18,0.381736448007551
10,10,-180,0.6,20,0.249046951818493
10,10,-180,0.6,22,0.256197002198937
10,10,-180,0.6,24,0.221410436105942
10,10,-180,0.6,26,0.235024845644614
10,10,-180,0.6,28,0.262243055621285
10,10,-180,0.6,30,0.167841318832267
10,10,-180,0.6,32,0.155170216007041
10,10,-180,0.6,34,0.17962346238354
10,10,-180,0.6,36,0.161297585006694
10,10,-180,0.6,38,0.157684788184577
10,10,-180,0.6,40,0.119935044648813
10,10,-180,0.6,42,0.11713350966712
10,10,-180,0.6,44,0.18120225079276
10,10,-180,0.6,46,0.143221583644104
