"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(GainTotal) []"
10,5,-180,0.6,0,-4.01855197835603
10,5,-180,0.6,2,-4.03520133607985
10,5,-180,0.6,4,-4.59477927624269
10,5,-180,0.6,6,-5.69712254093015
10,5,-180,0.6,8,-4.98094300577649
10,5,-180,0.6,10,-3.04015736563347
10,5,-180,0.6,12,-2.35714028624404
10,5,-180,0.6,14,-3.11341853861446
10,5,-180,0.6,16,-4.52229556947902
10,5,-180,0.6,18,-5.51696262778448
10,5,-180,0.6,20,-5.4219659212987
10,5,-180,0.6,22,-4.85567972204006
10,5,-180,0.6,24,-4.83208861746617
10,5,-180,0.6,26,-5.50015108445822
10,5,-180,0.6,28,-6.2716779628131
10,5,-180,0.6,30,-6.48764259452193
10,5,-180,0.6,32,-6.12297217019282
10,5,-180,0.6,34,-5.75158973278494
10,5,-180,0.6,36,-5.91781626554879
10,5,-180,0.6,38,-6.67575715472225
10,5,-180,0.6,40,-7.51791235365377
10,5,-180,0.6,42,-7.82766700536921
10,5,-180,0.6,44,-7.64663438659633
10,5,-180,0.6,46,-7.50979339740497
10,5,-180,0.6,48,-7.80840264201284
10,5,-180,0.6,50,-8.50098176410446
10,5,-180,0.6,52,-9.07987867445123
10,5,-180,0.6,54,-9.14117255723854
10,5,-180,0.6,56,-9.02854921531211
10,5,-180,0.6,58,-9.31286021195569
10,5,-180,0.6,60,-10.3109080758211
10,5,-180,0.6,62,-11.934937529249
10,5,-180,0.6,64,-12.9749105886997
10,5,-180,0.6,66,-12.0349928932137
10,5,-180,0.6,68,-10.6196796443786
10,5,-180,0.6,70,-10.1525087317312
10,5,-180,0.6,72,-10.9366621671893
10,5,-180,0.6,74,-12.7264071768041
10,5,-180,0.6,76,-13.6946728574995
10,5,-180,0.6,78,-11.6147508520669
10,5,-180,0.6,80,-8.78944598909578
10,5,-180,0.6,82,-6.71824793176775
10,5,-180,0.6,84,-5.45022726943662
10,5,-180,0.6,86,-4.78955473045837
10,5,-180,0.6,88,-4.51912819657141
10,5,-180,0.6,90,-4.45448115482441
10,5,-180,0.6,92,-4.51912819657143
10,5,-180,0.6,94,-4.78955473045839
10,5,-180,0.6,96,-5.45022726943662
10,5,-180,0.6,98,-6.71824793176776
10,5,-180,0.6,100,-8.78944598909578
10,5,-180,0.6,102,-11.6147508520669
10,5,-180,0.6,104,-13.6946728574995
10,5,-180,0.6,106,-12.7264071768042
10,5,-180,0.6,108,-10.9366621671893
10,5,-180,0.6,110,-10.1525087317311
10,5,-180,0.6,112,-10.6196796443787
10,5,-180,0.6,114,-12.0349928932137
10,5,-180,0.6,116,-12.9749105886997
10,5,-180,0.6,118,-11.934937529249
10,5,-180,0.6,120,-10.3109080758212
10,5,-180,0.6,122,-9.31286021195571
10,5,-180,0.6,124,-9.02854921531211
10,5,-180,0.6,126,-9.14117255723853
10,5,-180,0.6,128,-9.07987867445119
10,5,-180,0.6,130,-8.50098176410442
10,5,-180,0.6,132,-7.80840264201283
10,5,-180,0.6,134,-7.50979339740496
10,5,-180,0.6,136,-7.64663438659631
10,5,-180,0.6,138,-7.8276670053692
10,5,-180,0.6,140,-7.51791235365378
10,5,-180,0.6,142,-6.67575715472225
10,5,-180,0.6,144,-5.91781626554879
10,5,-180,0.6,146,-5.75158973278493
10,5,-180,0.6,148,-6.12297217019282
10,5,-180,0.6,150,-6.48764259452193
10,5,-180,0.6,152,-6.2716779628131
10,5,-180,0.6,154,-5.50015108445823
10,5,-180,0.6,156,-4.83208861746617
10,5,-180,0.6,158,-4.85567972204004
10,5,-180,0.6,160,-5.42196592129868
10,5,-180,0.6,162,-5.51696262778446
10,5,-180,0.6,164,-4.522295569479
10,5,-180,0.6,166,-3.11341853861446
10,5,-180,0.6,168,-2.35714028624403
10,5,-180,0.6,170,-3.04015736563346
10,5,-180,0.6,172,-4.98094300577649
10,5,-180,0.6,174,-5.69712254093015
10,5,-180,0.6,176,-4.5947792762427
10,5,-180,0.6,178,-4.03520133607986
10,5,-180,0.6,180,-4.01855197835604
10,7,-180,0.6,0,-6.3683277692079
10,7,-180,0.6,2,-4.4218569353298
10,7,-180,0.6,4,-4.34350417234102
10,7,-180,0.6,6,-4.06762740098704
10,7,-180,0.6,8,-2.5161855302188
10,7,-180,0.6,10,-3.03481616837236
10,7,-180,0.6,12,-3.84721892480131
10,7,-180,0.6,14,-4.50694313224525
10,7,-180,0.6,16,-4.39757105009926
10,7,-180,0.6,18,-4.67598267374349
10,7,-180,0.6,20,-5.37592420438591
10,7,-180,0.6,22,-5.67498991710948
10,7,-180,0.6,24,-5.50522536511033
10,7,-180,0.6,26,-5.81747105940429
10,7,-180,0.6,28,-6.72716377443811
10,7,-180,0.6,30,-6.95956363828681
10,7,-180,0.6,32,-6.18939426191331
10,7,-180,0.6,34,-6.22851078055282
10,7,-180,0.6,36,-7.5592251961736
10,7,-180,0.6,38,-8.59472980423582
10,7,-180,0.6,40,-7.78017362693208
10,7,-180,0.6,42,-6.97558846591818
10,7,-180,0.6,44,-7.50215879591785
10,7,-180,0.6,46,-8.51273991682853
10,7,-180,0.6,48,-8.48488369904506
10,7,-180,0.6,50,-8.25991315205236
10,7,-180,0.6,52,-8.96984572653792
10,7,-180,0.6,54,-10.0363538310284
10,7,-180,0.6,56,-10.1352825292634
10,7,-180,0.6,58,-9.86485771423936
10,7,-180,0.6,60,-10.6625511890448
10,7,-180,0.6,62,-13.4457322596047
10,7,-180,0.6,64,-15.5098924882102
10,7,-180,0.6,66,-13.546325173825
10,7,-180,0.6,68,-13.245167245747
10,7,-180,0.6,70,-15.0495004474788
10,7,-180,0.6,72,-15.1060301666614
10,7,-180,0.6,74,-12.8298426897258
10,7,-180,0.6,76,-11.7949268687228
10,7,-180,0.6,78,-12.0291223888053
10,7,-180,0.6,80,-11.0165950696579
10,7,-180,0.6,82,-8.26189241022829
10,7,-180,0.6,84,-6.31096680625814
10,7,-180,0.6,86,-5.92764460368662
10,7,-180,0.6,88,-6.8198528982951
10,7,-180,0.6,90,-7.59056260112505
10,7,-180,0.6,92,-6.81985289829514
10,7,-180,0.6,94,-5.92764460368663
10,7,-180,0.6,96,-6.31096680625816
10,7,-180,0.6,98,-8.26189241022827
10,7,-180,0.6,100,-11.0165950696578
10,7,-180,0.6,102,-12.0291223888053
10,7,-180,0.6,104,-11.7949268687227
10,7,-180,0.6,106,-12.8298426897257
10,7,-180,0.6,108,-15.1060301666614
10,7,-180,0.6,110,-15.0495004474788
10,7,-180,0.6,112,-13.2451672457469
10,7,-180,0.6,114,-13.546325173825
10,7,-180,0.6,116,-15.5098924882102
10,7,-180,0.6,118,-13.4457322596046
10,7,-180,0.6,120,-10.6625511890449
10,7,-180,0.6,122,-9.86485771423941
10,7,-180,0.6,124,-10.1352825292634
10,7,-180,0.6,126,-10.0363538310283
10,7,-180,0.6,128,-8.96984572653792
10,7,-180,0.6,130,-8.25991315205235
10,7,-180,0.6,132,-8.48488369904506
10,7,-180,0.6,134,-8.51273991682856
10,7,-180,0.6,136,-7.50215879591784
10,7,-180,0.6,138,-6.97558846591818
10,7,-180,0.6,140,-7.78017362693206
10,7,-180,0.6,142,-8.59472980423583
10,7,-180,0.6,144,-7.55922519617362
10,7,-180,0.6,146,-6.22851078055282
10,7,-180,0.6,148,-6.18939426191331
10,7,-180,0.6,150,-6.9595636382868
10,7,-180,0.6,152,-6.72716377443808
10,7,-180,0.6,154,-5.8174710594043
