"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(GainTotal) []"
10,5,90,0.6,0,-4.01855197835603
10,5,90,0.6,0.1,-3.90999528344914
10,5,90,0.6,0.2,-3.79928651039915
10,5,90,0.6,0.3,-3.68683483752208
10,5,90,0.6,0.4,-3.57303179567334
10,5,90,0.6,0.5,-3.45824977668516
10,5,90,0.6,0.6,-3.34284102711824
10,5,90,0.6,0.7,-3.22713706924671
10,5,90,0.6,0.8,-3.11144849001172
10,5,90,0.6,0.9,-2.99606503993617
10,5,90,0.6,1,-2.88125598704426
10,5,90,0.6,1.1,-2.76727067510522
10,5,90,0.6,1.2,-2.65433924053364
10,5,90,0.6,1.3,-2.54267344763791
10,5,90,0.6,1.4,-2.43246760731071
10,5,90,0.6,1.5,-2.3238995494803
10,5,90,0.6,1.6,-2.2171316245354
10,5,90,0.6,1.7,-2.11231171340733
10,5,90,0.6,1.8,-2.00957422998853
10,5,90,0.6,1.9,-1.90904110307355
10,5,90,0.6,2,-1.81082272803555
10,5,90,0.6,2.1,-1.71501888102238
10,5,90,0.6,2.2,-1.62171959061006
10,5,90,0.6,2.3,-1.53100596362875
10,5,90,0.6,2.4,-1.44295096331975
10,5,90,0.6,2.5,-1.35762013913727
10,5,90,0.6,2.6,-1.27507230841531
10,5,90,0.6,2.7,-1.19536019081655
10,5,90,0.6,2.8,-1.11853099700198
10,5,90,0.6,2.9,-1.04462697333547
10,5,90,0.6,3,-0.973685904695955
10,5,90,0.6,3.1,-0.905741577631923
10,5,90,0.6,3.2,-0.840824206178506
10,5,90,0.6,3.3,-0.778960822684697
10,5,90,0.6,3.4,-0.720175635977907
10,5,90,0.6,3.5,-0.664490359138234
10,5,90,0.6,3.6,-0.611924509074889
10,5,90,0.6,3.7,-0.56249567999802
10,5,90,0.6,3.8,-0.516219792767693
10,5,90,0.6,3.9,-0.473111321983501
10,5,90,0.6,4,-0.433183502553915
10,5,90,0.6,4.1,-0.396448517360486
10,5,90,0.6,4.2,-0.362917667507633
10,5,90,0.6,4.3,-0.332601526526677
10,5,90,0.6,4.4,-0.305510079783823
10,5,90,0.6,4.5,-0.281652850226871
10,5,90,0.6,4.6,-0.261039011493929
10,5,90,0.6,4.7,-0.243677489300978
10,5,90,0.6,4.8,-0.229577051922001
10,5,90,0.6,4.9,-0.21874639047686
10,5,90,0.6,5,-0.211194189646339
10,5,90,0.6,5.1,-0.206929189341712
10,5,90,0.6,5.2,-0.20596023776646
10,5,90,0.6,5.3,-0.208296336219329
10,5,90,0.6,5.4,-0.213946675902007
10,5,90,0.6,5.5,-0.222920666907637
10,5,90,0.6,5.6,-0.235227959480583
10,5,90,0.6,5.7,-0.250878457549847
10,5,90,0.6,5.8,-0.269882324448982
10,5,90,0.6,5.9,-0.292249980643039
10,5,90,0.6,6,-0.317992093186117
10,5,90,0.6,6.1,-0.347119556532053
10,5,90,0.6,6.2,-0.379643464212321
10,5,90,0.6,6.3,-0.41557507078118
10,5,90,0.6,6.4,-0.454925743302954
10,5,90,0.6,6.5,-0.497706901523187
10,5,90,0.6,6.6,-0.543929945719563
10,5,90,0.6,6.7,-0.593606171069362
10,5,90,0.6,6.8,-0.646746667196529
10,5,90,0.6,6.9,-0.703362201370977
10,5,90,0.6,7,-0.763463083623252
10,5,90,0.6,7.1,-0.827059011808446
10,5,90,0.6,7.2,-0.894158894400933
10,5,90,0.6,7.3,-0.964770648525381
10,5,90,0.6,7.4,-1.03890097042703
10,5,90,0.6,7.5,-1.11655507525475
10,5,90,0.6,7.6,-1.19773640267161
10,5,90,0.6,7.7,-1.28244628442032
10,5,90,0.6,7.8,-1.37068356955428
10,5,90,0.6,7.9,-1.46244420260086
10,5,90,0.6,8,-1.55772074945494
10,5,90,0.6,8.1,-1.6565018653128
10,5,90,0.6,8.2,-1.75877169845719
10,5,90,0.6,8.3,-1.86450922320479
10,5,90,0.6,8.4,-1.97368749484514
10,5,90,0.6,8.5,-2.0862728189564
10,5,90,0.6,8.6,-2.2022238271087
10,5,90,0.6,8.7,-2.32149045070065
10,5,90,0.6,8.8,-2.44401278456887
10,5,90,0.6,8.9,-2.56971983213147
10,5,90,0.6,9,-2.69852812425574
10,5,90,0.6,9.1,-2.83034020488158
10,5,90,0.6,9.2,-2.96504297781174
10,5,90,0.6,9.3,-3.10250591114945
10,5,90,0.6,9.4,-3.24257909880285
10,5,90,0.6,9.5,-3.38509118249361
10,5,90,0.6,9.6,-3.52984714303688
10,5,90,0.6,9.7,-3.67662597655871
10,5,90,0.6,9.8,-3.82517828004935
10,5,90,0.6,9.9,-3.97522378147305
10,5,90,0.6,10,-4.12644886278498
10,5,90,0.6,10.1,-4.27850413978324
10,5,90,0.6,10.2,-4.43100218075008
10,5,90,0.6,10.3,-4.58351546610287
10,5,90,0.6,10.4,-4.73557471327799
10,5,90,0.6,10.5,-4.88666771389404
10,5,90,0.6,10.6,-5.03623885247006
10,5,90,0.6,10.7,-5.18368949558411
10,5,90,0.6,10.8,-5.32837945466722
10,5,90,0.6,10.9,-5.46962973130143
10,5,90,0.6,11,-5.60672674708591
10,5,90,0.6,11.1,-5.73892823675134
10,5,90,0.6,11.2,-5.8654709393957
10,5,90,0.6,11.3,-5.98558015554194
10,5,90,0.6,11.4,-6.09848114600137
10,5,90,0.6,11.5,-6.20341223378323
10,5,90,0.6,11.6,-6.29963933753657
10,5,90,0.6,11.7,-6.38647152328992
10,5,90,0.6,11.8,-6.46327702351153
10,5,90,0.6,11.9,-6.52949905469931
10,5,90,0.6,12,-6.58467068395467
10,5,90,0.6,12.1,-6.62842796698748
10,5,90,0.6,12.2,-6.66052061601717
10,5,90,0.6,12.3,-6.68081956016357
10,5,90,0.6,12.4,-6.68932092825617
10,5,90,0.6,12.5,-6.68614620039143
10,5,90,0.6,12.6,-6.67153851824555
10,5,90,0.6,12.7,-6.645855388912
10,5,90,0.6,12.8,-6.60955823650701
10,5,90,0.6,12.9,-6.56319942769563
10,5,90,0.6,13,-6.50740750679219
10,5,90,0.6,13.1,-6.44287141753102
10,5,90,0.6,13.2,-6.37032446539332
10,5,90,0.6,13.3,-6.29052869730944
10,5,90,0.6,13.4,-6.20426026008361
10,5,90,0.6,13.5,-6.11229616212365
10,5,90,0.6,13.6,-6.01540272112911
10,5,90,0.6,13.7,-5.91432584652944
10,5,90,0.6,13.8,-5.80978318903522
10,5,90,0.6,13.9,-5.70245809600526
10,5,90,0.6,14,-5.59299524220059
10,5,90,0.6,14.1,-5.48199775990387
10,5,90,0.6,14.2,-5.37002566749404
10,5,90,0.6,14.3,-5.25759538757947
10,5,90,0.6,14.4,-5.14518015060983
10,5,90,0.6,14.5,-5.03321109363184
10,5,90,0.6,14.6,-4.92207888314312
10,5,90,0.6,14.7,-4.81213571309517
10,5,90,0.6,14.8,-4.70369755193074
10,5,90,0.6,14.9,-4.59704653464078
10,5,90,0.6,15,-4.49243341625316
10,5,90,0.6,15.1,-4.39008002137614
10,5,90,0.6,15.2,-4.29018164018977
10,5,90,0.6,15.3,-4.19290933459624
10,5,90,0.6,15.4,-4.09841212923363
10,5,90,0.6,15.5,-4.00681907094266
10,5,90,0.6,15.6,-3.9182411473048
10,5,90,0.6,15.7,-3.83277306031129
10,5,90,0.6,15.8,-3.75049485532781
10,5,90,0.6,15.9,-3.67147340853202
10,5,90,0.6,16,-3.59576377812461
10,5,90,0.6,16.1,-3.52341042603739
10,5,90,0.6,16.2,-3.45444831773345
10,5,90,0.6,16.3,-3.38890390814666
10,5,90,0.6,16.4,-3.32679602194216
10,5,90,0.6,16.5,-3.26813663618412
10,5,90,0.6,16.6,-3.2129315732352
10,5,90,0.6,16.7,-3.16118111134061
10,5,90,0.6,16.8,-3.1128805199049
10,5,90,0.6,16.9,-3.06802052598627
10,5,90,0.6,17,-3.02658771803259
10,5,90,0.6,17.1,-2.9885648923834
10,5,90,0.6,17.2,-2.9539313475739
10,5,90,0.6,17.3,-2.9226631310125
10,5,90,0.6,17.4,-2.89473324216307
10,5,90,0.6,17.5,-2.87011179595737
10,5,90,0.6,17.6,-2.84876614978698
10,5,90,0.6,17.7,-2.83066099708562
10,5,90,0.6,17.8,-2.81575843020642
10,5,90,0.6,17.9,-2.80401797502899
10,5,90,0.6,18,-2.79539659949392
10,5,90,0.6,18.1,-2.78984869806048
10,5,90,0.6,18.2,-2.78732605391333
10,5,90,0.6,18.3,-2.78777778060715
10,5,90,0.6,18.4,-2.79115024473458
10,5,90,0.6,18.5,-2.79738697112963
10,5,90,0.6,18.6,-2.80642853207999
10,5,90,0.6,18.7,-2.81821242201313
10,5,90,0.6,18.8,-2.83267291914718
10,5,90,0.6,18.9,-2.84974093565606
10,5,90,0.6,19,-2.86934385798929
10,5,90,0.6,19.1,-2.89140537911457
10,5,90,0.6,19.2,-2.91584532461046
10,5,90,0.6,19.3,-2.94257947473258
10,5,90,0.6,19.4,-2.97151938480494
10,5,90,0.6,19.5,-3.00257220655135
10,5,90,0.6,19.6,-3.03564051327663
10,5,90,0.6,19.7,-3.07062213212951
10,5,90,0.6,19.8,-3.10740998703059
10,5,90,0.6,19.9,-3.14589195621695
10,5,90,0.6,20,-3.18595074873916
10,5,90,0.6,20.1,-3.22746380463426
10,5,90,0.6,20.2,-3.27030322388044
10,5,90,0.6,20.3,-3.31433572960057
10,5,90,0.6,20.4,-3.35942267130748
10,5,90,0.6,20.5,-3.40542007425482
10,5,90,0.6,20.6,-3.4521787411504
10,5,90,0.6,20.7,-3.49954441258354
10,5,90,0.6,20.8,-3.54735799248256
10,5,90,0.6,20.9,-3.59545584473284
10,5,90,0.6,21,-3.64367016671474
10,5,90,0.6,21.1,-3.69182944494333
10,5,90,0.6,21.2,-3.73975899717933
10,5,90,0.6,21.3,-3.78728160431576
10,5,90,0.6,21.4,-3.83421823401157
10,5,90,0.6,21.5,-3.88038885643939
10,5,90,0.6,21.6,-3.92561335064184
10,5,90,0.6,21.7,-3.96971249787444
10,5,90,0.6,21.8,-4.01250905598126
10,5,90,0.6,21.9,-4.05382890635871
10,5,90,0.6,22,-4.09350226247808
10,5,90,0.6,22.1,-4.13136492634254
10,5,90,0.6,22.2,-4.16725957675108
10,5,90,0.6,22.3,-4.20103707093611
10,5,90,0.6,22.4,-4.23255773915143
10,5,90,0.6,22.5,-4.26169265022918
10,5,90,0.6,22.6,-4.2883248251055
10,5,90,0.6,22.7,-4.31235037493358
10,5,90,0.6,22.8,-4.33367954072749
10,5,90,0.6,22.9,-4.35223761255848
10,5,90,0.6,23,-4.36796570816456
10,5,90,0.6,23.1,-4.38082139340335
10,5,90,0.6,23.2,-4.39077913021206
10,5,90,0.6,23.3,-4.39783054152816
10,5,90,0.6,23.4,-4.40198448683226
10,5,90,0.6,23.5,-4.40326694643896
10,5,90,0.6,23.6,-4.40172071719864
10,5,90,0.6,23.7,-4.3974049267049
10,5,90,0.6,23.8,-4.39039437724647
10,5,90,0.6,23.9,-4.38077873444158
10,5,90,0.6,24,-4.36866157861489
10,5,90,0.6,24.1,-4.35415933941867
10,5,90,0.6,24.2,-4.33740013590396
10,5,90,0.6,24.3,-4.31852254518806
10,5,90,0.6,24.4,-4.29767432305962
10,5,90,0.6,24.5,-4.27501109935937
10,5,90,0.6,24.6,-4.25069506985212
10,5,90,0.6,24.7,-4.22489370466029
10,5,90,0.6,24.8,-4.19777849127307
10,5,90,0.6,24.9,-4.16952372779619
10,5,90,0.6,25,-4.14030537957631
10,5,90,0.6,25.1,-4.11030000973468
10,5,90,0.6,25.2,-4.07968379156944
10,5,90,0.6,25.3,-4.04863160831612
10,5,90,0.6,25.4,-4.01731624345994
10,5,90,0.6,25.5,-3.98590766271477
10,5,90,0.6,25.6,-3.95457238695799
10,5,90,0.6,25.7,-3.92347295385138
10,5,90,0.6,25.8,-3.89276746459291
10,5,90,0.6,25.9,-3.86260921122294
10,5,90,0.6,26,-3.83314637913782
10,5,90,0.6,26.1,-3.80452181892336
10,5,90,0.6,26.2,-3.77687288128272
10,5,90,0.6,26.3,-3.75033130867393
10,5,90,0.6,26.4,-3.72502317726105
10,5,90,0.6,26.5,-3.70106888289461
10,5,90,0.6,26.6,-3.67858316504428
10,5,90,0.6,26.7,-3.65767516288781
10,5,90,0.6,26.8,-3.63844849809183
10,5,90,0.6,26.9,-3.621001379187
10,5,90,0.6,27,-3.60542672282254
10,5,90,0.6,27.1,-3.59181228757525
10,5,90,0.6,27.2,-3.58024081636963
10,5,90,0.6,27.3,-3.57079018393612
10,5,90,0.6,27.4,-3.56353354608302
10,5,90,0.6,27.5,-3.55853948788142
10,5,90,0.6,27.6,-3.55587216815985
10,5,90,0.6,27.7,-3.55559145797116
10,5,90,0.6,27.8,-3.55775307093109
10,5,90,0.6,27.9,-3.56240868353132
10,5,90,0.6,28,-3.56960604370726
10,5,90,0.6,28.1,-3.57938906608407
10,5,90,0.6,28.2,-3.59179791244329
10,5,90,0.6,28.3,-3.60686905604259
10,5,90,0.6,28.4,-3.62463532848883
10,5,90,0.6,28.5,-3.64512594790643
10,5,90,0.6,28.6,-3.66836652716787
10,5,90,0.6,28.7,-3.69437906095686
10,5,90,0.6,28.8,-3.72318189042279
10,5,90,0.6,28.9,-3.75478964416091
10,5,90,0.6,29,-3.78921315421601
10,5,90,0.6,29.1,-3.82645934576355
10,5,90,0.6,29.2,-3.86653109907467
10,5,90,0.6,29.3,-3.90942708232243
10,5,90,0.6,29.4,-3.95514155374246
10,5,90,0.6,29.5,-4.00366413162657
10,5,90,0.6,29.6,-4.05497953060831
10,5,90,0.6,29.7,-4.1090672627036
10,5,90,0.6,29.8,-4.165901301606
10,5,90,0.6,29.9,-4.22544970881221
10,5,90,0.6,30,-4.28767422028756
10,5,90,0.6,30.1,-4.35252979257898
10,5,90,0.6,30.2,-4.41996410756762
10,5,90,0.6,30.3,-4.48991703543993
10,5,90,0.6,30.4,-4.56232005596476
